,item.value,name,full_w
21,http://data.mimotext.uni-trier.de/entity/Q1241,Arnaud_Bal,https://github.com/MiMoText/roman18/blob/master/plain/files/Arnaud_Bal.txt
22,http://data.mimotext.uni-trier.de/entity/Q1249,Chevrier_Magakou,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Chevrier_Magakou.xml
23,http://data.mimotext.uni-trier.de/entity/Q1249,Chevrier_Magakou,https://github.com/MiMoText/roman18/blob/master/plain/files/Chevrier_Magakou.txt
24,http://data.mimotext.uni-trier.de/entity/Q1252,Fyot_Memoires,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Fyot_Memoires.xml
25,http://data.mimotext.uni-trier.de/entity/Q1252,Fyot_Memoires,https://github.com/MiMoText/roman18/blob/master/plain/files/Fyot_Memoires.txt
26,http://data.mimotext.uni-trier.de/entity/Q1259,Marchadier_Isle,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Marchadier_Isle.xml
27,http://data.mimotext.uni-trier.de/entity/Q1259,Marchadier_Isle,https://github.com/MiMoText/roman18/blob/master/plain/files/Marchadier_Isle.txt
28,http://data.mimotext.uni-trier.de/entity/Q1275,Gimat_Voyage,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Gimat_Voyage.xml
29,http://data.mimotext.uni-trier.de/entity/Q1275,Gimat_Voyage,https://github.com/MiMoText/roman18/blob/master/plain/files/Gimat_Voyage.txt
30,http://data.mimotext.uni-trier.de/entity/Q1304,Maubert_Paisan,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Maubert_Paisan.xml
31,http://data.mimotext.uni-trier.de/entity/Q1304,Maubert_Paisan,https://github.com/MiMoText/roman18/blob/master/plain/files/Maubert_Paisan.txt
32,http://data.mimotext.uni-trier.de/entity/Q1328,Linguet_Voyage,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Linguet_Voyage.xml
33,http://data.mimotext.uni-trier.de/entity/Q1328,Linguet_Voyage,https://github.com/MiMoText/roman18/blob/master/plain/files/Linguet_Voyage.txt
34,http://data.mimotext.uni-trier.de/entity/Q1367,Anonym_Histoire,https://github.com/MiMoText/roman18/blob/master/XML-TEI/files/Anonym_Histoire.xml
