,Text in Cottin_Claire,Text in B,Location in Cottin_Claire,Location in B
Rousseau_Emile_1,"te des cris, des mouvement et DES GESTES QUI DONNENT UN COURS AUX ESPRITS, ET FONT DIVERSION à la douleur ; mais il s'est ","icte des cris, des mouvement, DES GESTES, QUI DONNENT UN COURS AUX ESPRITS ETAMP; SONT DIVERSION à la passion: tant qu'on s'ag","(153065, 153127)","(1267144, 1267184)"
Rousseau_Julie_0," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva"," s’attendrisse, en te voyant, POUR LA PREMIÈRE FOIS DE SA VIE; que toute une famille t’idol","(46177, 46208)","(364590, 364621)"
Rousseau_Julie_1,", chargez-vous de la peindre, POUR MOI JE NE M'EN MÊLE PLUS. » Alors, jetant brusquement ","ais son affaire et la tienne; POUR MOI JE NE M’EN MÊLE PLUS. 
Remplie de cette charmante ","(65224, 65253)","(364590, 364621)"
Rousseau_Julie_2,à vous repentir ? » M. d'Albe PREND LA MAIN DE SA FEMME ET LA couvre de larmes ; elle conti,"issez l’un ou l’autre. Alors, PRENANT LA MAIN DE SA FEMME ET LA mienne, il me dit en la serra","(206041, 206072)","(364590, 364621)"
Sade_Aline_0,"ils ; cette espérance m'avait FAIT DESCENDRE EN PAIX DANS LA TOMBE, et tu le chasses de chez toi",", et cet heureux espoir va me FAIRE DESCENDRE EN PAIX DANS LA TOMBE. Viens, mon fils, viens, cont","(79117, 79153)","(687194, 687231)"
Sade_Justine_0," démarches, de perquisitions, NE FAUT-IL PAS POUR ÊTRE SÛR DE ne secourir que les vrais mal"," jeunesse, de force, de santé NE FAUT-IL PAS POUR ÊTRE SÛR DE produire dans une femme cette","(28789, 28820)","(343045, 343076)"
Sade_Justine_1,i-même... Je voulais t'écrire TOUT CE QUI VIENT DE SE PASSER ; mais je ne le puis : ma mai,"ame, vous ici m'écriai-je. 
--TOUT CE QUI VIENT DE SE PASSER est mon ouvrage, me répondit ","(110485, 110515)","(343045, 343076)"
Sade_Philosophie_0,"e travail me rende mon amie ; QUE CE SOIT À VOUS QUE JE DOIVE son retour ici, afin que chaq","ôtre est plus petit, Dolmancé QUE CE SOIT À VOUS QUE JE DOIVE cette opération, je vous en c","(130428, 130459)","(214745, 214776)"
Segur_Correspondance_0,"oire ! j'en suis si loin, que CE SERAIT POUR MOI LE PLUS GRAND des malheurs ; car ce serait "," pas venir faire un tour ici? CE SERAIT POUR MOI LE PLUS GRAND succès de la paix. 
LETTRE IX","(96176, 96208)","(359776, 359808)"
Senac_Emigre_0,prétendu que c'était un tort. JE LUI AI RÉPONDU QUE JE NE donnais ce nom qu'aux choses ,"uis, qu'il faut qu'elle se marIE. JE LUI AI RÉPONDU QUE Je ne pouvais juger de ce qui l","(30361, 30388)","(687224, 687251)"
Souza_Adele_0,"e sur un ton extraordinaire ; JE NE SAVAIS PAS CE QUE JE faisais, je ne me reconnaissa","entendirent sûrement pas, car JE NE SAVAIS PAS CE QUE JE disais. 
Monsieur de Sénange ","(136563, 136589)","(43771, 43797)"
Tiphaigne_Galligenes_0,"u'il m'a vue, mais qu'il sait TOUT CE QUI SE PASSE DANS MON CŒUR. J'avais espéré pourtant l'ar",. Que ne puis-je „t'expliquer TOUT CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,"(140010, 140044)","(52534, 52569)"
Voltaire_Candide_0," » Frédéric s'est précipité à SES PIEDS, ET LES BAIGNANT DE LARMES : « Je partirai, s'est-il écr",Empire. » Cunégonde se jeta à SES PIEDS ET LES BAIGNA DE LARMES ; il fut inflexible. « Maître,"(141700, 141736)","(178536, 178569)"
Voltaire_Princesse_0,"enez, et je vous ai devinée ; QU'IL VOUS SUFFISE DE SAVOIR QUE JE suis content de vous, ne me q", fille bien née d'en parler : QU'IL VOUS SUFFISE DE SAVOIR QUE JE vous regarde comme le plus gr,"(145001, 145036)","(51167, 51202)"
