,LOC,PER
Loaisel_Lucile.txt,"[('Edmont', 14), ('Saint-Flour', 14), ('Milcourt', 7), ('Saint - Flour', 5), ('Alibre', 3)]","[('Lucile', 74), ('madame de Courmill', 24), ('Madame de Courmill', 6), ('Alibre', 6), ('O Lucile!', 4)]"
Riccoboni_Histoire.txt,"[('Adélaïde', 57), ('Cressy', 28), ('Hélene', 19), ('Chelles', 7), ('Gersay', 6)]","[('Adélaïde', 44), ('Madame de Cressy', 38), ('M de Cressy', 37), ('Mademoiselle Du Bugei', 36), ('Mademoiselle De Berneil', 34)]"
Mirabeau_Conversion.txt,"[('Euphrosie', 19), ('Paris', 10), ('Branlinos', 9), ('Dorville', 8), ('sacredieu', 3)]","[('madame', 14), ('louis', 11), ('Agathe', 11), ('Monsieur', 9), ('La marquise', 8)]"
Mercier_Jezennemours.txt,"[('Jezennemours', 98), ('Florimonde', 32), ('Paris', 9), ('Strasbourg', 7), ('Europe', 6)]","[('Jezennemours', 112), ('Suzanne', 99), ('Monval', 79), ('Florimonde', 19), ('M De Chaterbaune', 15)]"
Lesuire_Crime.txt,"[('Paris', 132), ('Dumoulin', 63), ('Lyon', 57), ('Couvent', 48), ('Demoiselle', 47)]","[('Frédégonde', 148), ('Monsieur', 106), ('César de Perlencour', 92), ('Levrette', 68), ('César', 57)]"
Retif_Paysanne.txt,"[('Ursule', 153), ('Paris', 69), ('Fanchette', 56), ('Lagouache', 47), ('Parangon', 39)]","[('Edmond', 584), ('Mme Parangon', 220), ('Gaudet', 110), ('Fanchon', 71), ('Mme Canon', 67)]"
Cazotte_Diable.txt,"[('Venise', 14), ('Estrémadure', 10), ('Olympia', 8), ('Biondetta', 7), ('Naples', 7)]","[('Alvare', 54), ('Marcos', 9), ('Carle', 5), ('Che vuoi', 4), ('Mencia', 4)]"
Marmontel_Belisaire.txt,"[('Tibére', 77), ('état', 40), ('Rome', 23), (""l' empire"", 18), ('Italie', 17)]","[('Bélisaire', 220), ('Justinien', 65), ('Eudoxe', 16), ('Narsès', 13), ('Antonine', 13)]"
Charriere_Femmes.txt,"[('Altendorf', 22), ('Emilie', 15), ('Paris', 13), ('Mademoiselle', 8), ('Allemagne', 7)]","[('Emilie', 186), ('Théobald', 146), ('Joséphine', 144), ('Henri', 75), ('Mme de Vaucourt', 54)]"
Voltaire_Micromegas.txt,"[('Saturne', 13), ('Micromégas', 10), ('Sirius', 4), ('Jupiter', 4), ('mer Baltique', 3)]","[('Micromégas', 13), ('Saturne', 3), ('Aristote', 3), ('Loke', 3), ('M Micromégas', 2)]"
