FR								
new								
LOCATION STRING (novel)	Wikidata Label fr	coordonnées géographiques	Wikidata URL (P31)	Quelle 				
Némorin	Némorin			NER				
Nouronihar	Nouronihar			NER				
Palais	palais		https://www.wikidata.org/wiki/Q16560	NER				
Paquans	Paquans			NER				
Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	NER				
Periphas	Periphas			NER				
Pizarre	Pizarre			NER				
Rome	Rome	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	NER				
Russes	Russie	66.41666666666667,94.25	https://www.wikidata.org/wiki/Q159	NER				
Saint-Flour	Saint-Flour			NER				
Saint-Silvain	Saint-Silvain			NER				
Saturne	Saturne		https://www.wikidata.org/wiki/Q193	NER				
Schah-Baham	Schah-Baham			NER				
S-Firmin	S-Firmin			NER				
Stainville	Stainville	48.653611111111,5.1855555555556	https://www.wikidata.org/wiki/Q210672	NER				
Sydney	Sydney			NER				
Taïtiens	Tahiti	-17.666666666667,-149.46666666667	https://www.wikidata.org/wiki/Q42000	NER				
Tibére	Tibéré	6.0666666666667,14.316666666667	https://www.wikidata.org/wiki/Q23663811	NER				
Trénel	Trénel			NER				
Venise	Venise	45.439722222222,12.331944444444	https://www.wikidata.org/wiki/Q641	NER				
Verglan	Verglan			NER				
Vernol	Vernol			NER				
Verseuil	Verseuil		https://www.wikidata.org/wiki/Q55038540	NER				
Vienne	Vienne	48.20833,16.373064	https://www.wikidata.org/wiki/Q1741	NER				
