Column 1	bgrf	LOC1	Wikidata Label fr	coordonnées géographiques5	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	coordonnées géographiques6	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	coordonnées géographiques	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	coordonnées géographiques3	coordonnées géographiques2	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	coordonnées géographiques4	URL5	Quantity LOC5
Sade_Aline	76.36	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 96 	 Zamé	Zamé	11.083333333333,-0.56666666666667	https://www.wikidata.org/wiki/Q8065766	 92						 Déterville	 Déterville				 62					
Lavaux_Eusebe	83.40	Frivolipolis	Frivolipolis			 10 	 Hiboumanes	 Hiboumanes			 5	 Etat	État		https://www.wikidata.org/wiki/Q7275	 5											
Crebillon_Conte	86.51	Schah-Baham	Schah-Baham			 48 	 Tout-Ou-Rien	 Tout-Ou-Rien			 42	 état	État		https://www.wikidata.org/wiki/Q7275	 40	 Manzaïde	 Manzaïde				 32	 autruche	 autruche			 26
Leonard_Clementine	83.42	Trénel	Trénel			 3 						 état	État		https://www.wikidata.org/wiki/Q7275	 3	 Murcé	 Murcé				 2	 Vante	 Vante			 1
Berquin_Enfants	53.26	S-Firmin	S-Firmin			 61 	 Fanchette	 Fanchette			 24	 Saint-Firmin	Saint-Firmin	47.043333333333,3.3916666666667	https://www.wikidata.org/wiki/Q37180	 19	 Amand	 Amand				 8					
Retif_Paysan	93.16						 Arras	Arras	50.289166666667,2.78	https://www.wikidata.org/wiki/Q131329	 105						 Tiennete	 Tiennete				 99					
Cottin_Claire	84.50						 Loire	Loire	44.841666666667,4.2186111111111	https://www.wikidata.org/wiki/Q1469	 4						 Lyon	Lyon	45.758888888889,4.8413888888889	45.758888888889,4.8413888888889	https://www.wikidata.org/wiki/Q456	 2	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 2
									47.27,-2.1844444444444																		
Ducray_Cinquante	75.37	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 86 	 Saint-Ange	 Saint-Ange			 81	 Eranville	 Eranville			 65	 Briceval	 Briceval				 61					
Laclos_Liaisons	60.21	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 104 											 Opéra	opéra			https://www.wikidata.org/wiki/Q153562	 14	 Gercourt	Gercourt-et-Drillancourt	49.285,5.2380555555556	https://www.wikidata.org/wiki/Q217293	 12
