Column 1	bgrf	LOC1	Wikidata Label fr	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	URL5	Quantity LOC5
Reveroni_Pauliska	83.26	Russes	Russie	https://www.wikidata.org/wiki/Q159	 21 	 Ust	 Ust		 17	 Polonais	Pologne	https://www.wikidata.org/wiki/Q36	 16	 Bude	 Bude		 12	 Francfort	Francfort-sur-le-Main	https://www.wikidata.org/wiki/Q1794	 11
Riccoboni_MissJenny	86.34	Anglesey	Anglesey	https://www.wikidata.org/wiki/Q168159	 87 	 Londres	Londres	https://www.wikidata.org/wiki/Q84	 82									 Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	 19
Rousseau_Julie	75.28	Paris	Paris	https://www.wikidata.org/wiki/Q90	 65 	 Clarens	 Clarens		 26	 Orbe	 Orbe		 26					 Londres	Londres	https://www.wikidata.org/wiki/Q84	 20
Anonym_Suzon	82.20	Couvent	couvent	https://www.wikidata.org/wiki/Q1128397	 21 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 13	 État	État	https://www.wikidata.org/wiki/Q7275	 13	 Minois	 Minois		 12				
Dulaurens_Imirce	95.20	Paris	Paris	https://www.wikidata.org/wiki/Q90	 89 	 Tien	 Tien		 24	 Zéphyre	Zéphyre	https://www.wikidata.org/wiki/Q3576516	 19	 France	 France		 10				
Boufflers_Reine	74.15	Golconde	Golconde		 4 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 3	 état	État	https://www.wikidata.org/wiki/Q7275	 3	 Dinazarde	 Dinazarde		 1	 Molinos	 Molinos		 1
Loaisel_Dolbreuse	84.27	Paris	Paris	https://www.wikidata.org/wiki/Q90	 11 					 état	État	https://www.wikidata.org/wiki/Q7275	 7	" ""l empire"""	" ""l empire"""		 3				
Doppet_Memoires	58.13	Paris	Paris	https://www.wikidata.org/wiki/Q90	 27 	 Annecy	Annecy	https://www.wikidata.org/wiki/Q50189	 26	 Chambery	Chambéry	https://www.wikidata.org/wiki/Q165090	 22	 Savoye	Savoie	https://www.wikidata.org/wiki/Q14118	 9	 Univers	univers	https://www.wikidata.org/wiki/Q1	 7
Genlis_Chevaliers	82.17	Armoflède	Armoflède		 280 	 Nasuf	 Nasuf		 101	 Vitikind	 Vitikind		 65					 Diaulas	 Diaulas		 42
Retif_AntiJustine	99104.0									 Timori	 Timori		 36					 Guaé	 Guaé		 32
Arnaud_Epoux	99105.0	Paris	Paris	https://www.wikidata.org/wiki/Q90	 27 	 Lesseville	 Lesseville		 19									 état	État	https://www.wikidata.org/wiki/Q7275	 10
Loaisel_Comtesse	85.33	Saint-Flour	Saint-Flour		 21 	 Milcourt	 Milcourt		 5	 soleil	Soleil	https://www.wikidata.org/wiki/Q525	 2	 jura	Jura	https://www.wikidata.org/wiki/Q178611	 2	 Alibre	 Alibre		 2
Benouville_Pensees	74.20									 Mérida	Mérida	https://www.wikidata.org/wiki/Q14323	 10	 Univers	univers	https://www.wikidata.org/wiki/Q1	 8	 Peuple	 Peuple		 6
Popeliniere_Daira	83.31	etamp	etamp		 68 					 Alep	Alep	https://www.wikidata.org/wiki/Q41183	 37	 Isle	 Isle		 16	 Sérail	sérail	https://www.wikidata.org/wiki/Q1170287	 16
Gorjy_Voyage	82.27	Kermouth	Kermouth		 12 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 5	 Calais	 Calais		 3	 Bruxelles	 Bruxelles		 2	 France	France	https://www.wikidata.org/wiki/Q142	 2
Montesquieu_Arsace	89.81	Ardasire	Ardasire		 27 	 Isménie	 Isménie		 19	 Bactriane	Bactriane	https://www.wikidata.org/wiki/Q132646	 17	 Médie	 Médie		 14	 Hyrcanie	Hyrcanie	https://www.wikidata.org/wiki/Q48726	 11
Jacquin_Parisiennes	87.54bis	Barville	Barville		 53 	 Hortence	Hortence	https://www.wikidata.org/wiki/Q21144570	 50	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 24	 etamp	 etamp		 22				
Nerciat_Aphrodites	79.22									 Paris	Paris	https://www.wikidata.org/wiki/Q90	 59	 Valcreux	 Valcreux		 44	 Baronnet	 Baronnet		 33
Nerciat_Etourdi	83.33	Paris	Paris	https://www.wikidata.org/wiki/Q90	 10 	 Montpellier	Montpellier	https://www.wikidata.org/wiki/Q6441	 6	 Anglais	Angleterre	https://www.wikidata.org/wiki/Q21	 6						Despras	https://www.wikidata.org/wiki/Q63087559	
Diderot_Neveu	87.56									 Paris	Paris	https://www.wikidata.org/wiki/Q90	 5					 Est	 Est		 4
Voisenon_Histoire	90.47	Alménidore	Alménidore		 27 					 Thémidore	 Thémidore		 8	 Elmasie	 Elmasie		 6	 Zélamire	 Zélamire		 4
Genlis_Adele	94.8	Paris	Paris	https://www.wikidata.org/wiki/Q90	 143 	 Lagaraye	 Lagaraye		 58	 Rome	Rome	https://www.wikidata.org/wiki/Q220	 44	 Dainville	 Dainville		 33	 Languedoc	Languedoc	https://www.wikidata.org/wiki/Q206221	 29
Abbes_Voyage	67.39	Palais	palais	https://www.wikidata.org/wiki/Q16560	 3 	 Vestibule	vestibule	https://www.wikidata.org/wiki/Q301276	 3	 Anglois	 Anglois		 2	 Pays	pays	https://www.wikidata.org/wiki/Q6256	 1	 Région	zone géographique	https://www.wikidata.org/wiki/Q82794	 1
Beaumont_Clarice	61.12	Londres	Londres	https://www.wikidata.org/wiki/Q84	 51 	 Hariote	 Hariote		 38	 Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	 36	 France	France	https://www.wikidata.org/wiki/Q142	 31	 Bordeaux	Bordeaux	https://www.wikidata.org/wiki/Q1479	 27
Voltaire_Homme	77.50	État	État	https://www.wikidata.org/wiki/Q7275	 30 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 22	" ""lEurope"""	Europe	https://www.wikidata.org/wiki/Q46	 11	 Rome	Rome	https://www.wikidata.org/wiki/Q220	 7	 la France	France	https://www.wikidata.org/wiki/Q142	 6
Fourqueux_Zely	84.43	Nassès	Nassès		 17 					 Ville	ville	https://www.wikidata.org/wiki/Q515	 5								
Mirabeau_Rideau	71.36	Vernol	Vernol		 29 																
Sade_Aline	76.36	Paris	Paris	https://www.wikidata.org/wiki/Q90	 96 	 Zamé	Zamé	https://www.wikidata.org/wiki/Q8065766	 92					 Déterville	 Déterville		 62				
Lavaux_Eusebe	83.40	Frivolipolis	Frivolipolis		 10 	 Hiboumanes	 Hiboumanes		 5	 Etat	État	https://www.wikidata.org/wiki/Q7275	 5								
Crebillon_Conte	86.51	Schah-Baham	Schah-Baham		 48 	 Tout-Ou-Rien	 Tout-Ou-Rien		 42	 état	État	https://www.wikidata.org/wiki/Q7275	 40	 Manzaïde	 Manzaïde		 32	 autruche	 autruche		 26
Leonard_Clementine	83.42	Trénel	Trénel		 3 					 état	État	https://www.wikidata.org/wiki/Q7275	 3	 Murcé	 Murcé		 2	 Vante	 Vante		 1
Berquin_Enfants	53.26	S-Firmin	S-Firmin		 61 	 Fanchette	 Fanchette		 24	 Saint-Firmin	Saint-Firmin	https://www.wikidata.org/wiki/Q37180	 19	 Amand	 Amand		 8				
Retif_Paysan	93.16					 Arras	Arras	https://www.wikidata.org/wiki/Q131329	 105					 Tiennete	 Tiennete		 99				
Cottin_Claire	84.50					 Loire	Loire	https://www.wikidata.org/wiki/Q1469	 4					 Lyon	Lyon	https://www.wikidata.org/wiki/Q456	 2	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 2
Ducray_Cinquante	75.37	Paris	Paris	https://www.wikidata.org/wiki/Q90	 86 	 Saint-Ange	 Saint-Ange		 81	 Eranville	 Eranville		 65	 Briceval	 Briceval		 61				
Laclos_Liaisons	60.21	Paris	Paris	https://www.wikidata.org/wiki/Q90	 104 									 Opéra	opéra	https://www.wikidata.org/wiki/Q153562	 14	 Gercourt	Gercourt-et-Drillancourt	https://www.wikidata.org/wiki/Q217293	 12
Louvet_Annee	53.R34													 Paris	Paris	https://www.wikidata.org/wiki/Q90	 23	 Varsovie	Varsovie	https://www.wikidata.org/wiki/Q270	 22
Lesuire_Crime	60.28	Paris	Paris	https://www.wikidata.org/wiki/Q90	 132 					 Lyon	Lyon	https://www.wikidata.org/wiki/Q456	 57	 Couvent	couvent	https://www.wikidata.org/wiki/Q1128397	 48				
Voltaire_Princesse	61.17	Babylone	Babylone	https://www.wikidata.org/wiki/Q5684	 77 	 Amazan	 Amazan		 48	 Égypte	Égypte	https://www.wikidata.org/wiki/Q79	 33					 Scythes	Scythes	https://www.wikidata.org/wiki/Q131802	 19
Barthelemy_Voyage	91.44	Grèce	Grèce	https://www.wikidata.org/wiki/Q41	 440 	 Athènes	Athènes	https://www.wikidata.org/wiki/Q1524	 280	 athéniens	Athènes	https://www.wikidata.org/wiki/Q1524	 206	 Lacédémone	 Lacédémone		 135	 Sicile	Sicile	https://www.wikidata.org/wiki/Q4951156	 104
Sade_Infortunes	98.84					 Paris	Paris	https://www.wikidata.org/wiki/Q90	 25					 Lyon	 Lyon		 19				
Riccoboni_Histoire	76.44					 Cressy	 Cressy		 28					 Chelles	 Chelles		 7	 Gersay	 Gersay		 6
Riccoboni_LettreJuliette	84.58	Erford	Erford	https://www.wikidata.org/wiki/Q36858333	 34 	 Vinchester	 Vinchester		 29	 Londres	Londres	https://www.wikidata.org/wiki/Q84	 27	 Montfort	 Montfort		 9	 Mosès	 Mosès		 6
Rosny_Firmin	83.48	Stainville	Stainville	https://www.wikidata.org/wiki/Q210672	 21 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 17	 Thomill	 Thomill		 10	 Liège	Liège	https://www.wikidata.org/wiki/Q3992	 7	 Orl	 Orl		 6
