,Abbes_Voyage,Anonym_Suzon,Beauharnais_Lettres,Beaumont_Clarice,Benoist_Elisabeth3,Benouville_Pensees,Bernardin_Paul,Bernardin_Paul[1],Constant_Laure1,Constant_Laure2,Diderot_Bijoux[1],Diderot_Jacques,Diderot_Neveu,Diderot_Religieuse,Diderot_Supplement[1],Doppet_Memoires,Duclos_Acajou,Ducray_Cinquante1,Dulaurens_Imirce,Duras_Edouard,Duras_Ourika,Florian_Estelle,Florian_Galatee,Fourqueux_Zely,Gorjy_Voyage,Jacquant_Lettres,Jacquin_Parisiennes2,Kimber_Thompson1,Kimber_Thompson2,Lagrave_Sophie1,Lagrave_Zabeth1,LaPlace_Collection,LaPlace_Lydia,Leonard_Lettres1,Lesage_Histoire[1],Lesuire_Aventurier1,Lesuire_Crime1,Loaisel_Comtesse,Loaisel_Lucile,Meissner_Histoire1,Merard_Bergeries,Mirabeau_Conversion,Morelly_Naufrage1,Morelly_Naufrage2,Nerciat_Aphrodites,Nerciat_Felicia,Popeliniere_Daira1,Popeliniere_Daira2,Puget_Periphas1,Puget_Periphas2,Reveroni_Pauliska,Rousseau_Emile1,Rousseau_Emile2,Sacy_Amours,Sade_120,Sade_Infortunes,Sade_Justine,Sade_Philosophie,Tiphaigne_Galligenes1,Tiphaigne_Galligenes2,Voltaire_Homme,Voltaire_Princesse,sum
laqu,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,9,37,14,9,0,0,21,48,0,0,0,12,4,0,5,0,0,0,12,20,44,0,9,3,6,2,0,0,0,0,0,0,0,0,6,2,0,0,293
periphas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,194,0,0,0,0,0,0,0,0,0,0,0,0,284
mr,0,0,0,0,0,0,0,0,74,197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,278
vouloit,0,15,6,0,6,8,0,0,6,14,0,0,0,0,0,11,7,0,0,0,0,7,7,0,0,4,3,6,9,0,27,22,0,1,0,21,15,5,5,5,4,0,6,3,0,0,12,6,1,6,0,7,13,0,0,0,0,0,3,3,0,0,274
loix,0,8,5,0,3,14,0,0,1,1,0,0,0,0,0,8,1,0,0,0,0,0,0,3,1,0,2,1,1,0,0,13,5,15,0,1,2,5,3,2,6,0,21,44,2,0,9,5,16,11,0,0,2,1,3,0,0,0,38,21,0,0,274
j'aurois,0,20,8,0,8,17,0,0,12,17,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,12,13,6,8,0,5,34,8,9,0,4,8,3,3,3,2,0,3,2,0,0,7,3,2,4,0,5,30,0,0,0,0,0,1,2,0,0,273
l'avoit,1,4,7,1,5,4,0,0,4,10,0,0,0,0,0,12,3,0,0,0,0,6,9,0,0,4,5,13,13,0,20,65,7,2,0,7,2,6,6,4,2,0,2,1,1,0,8,6,4,6,0,3,12,1,0,0,0,0,2,2,0,0,270
celestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268
mlle,0,0,0,0,0,0,0,0,13,112,0,26,2,10,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,6,0,0,0,19,33,0,0,0,0,20,1,0,0,4,0,0,0,0,0,0,0,265
lucile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,103,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,263
julie,0,0,0,0,26,0,0,0,4,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13,19,0,0,0,0,0,0,2,11,2,3,0,0,0,0,40,0,0,0,0,0,0,0,0,80,0,0,0,49,0,7,0,0,0,0,0,260
déja,3,1,1,0,7,13,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,9,17,9,0,1,0,1,0,0,2,5,12,9,0,5,0,29,6,10,10,0,28,16,0,0,20,0,5,0,0,0,0,26,0,0,0,0,1,5,0,0,256
pouvois,1,10,6,0,9,5,0,0,10,8,0,0,0,0,0,18,1,0,0,0,0,3,6,0,1,18,8,8,12,0,4,33,9,7,0,18,11,1,1,2,3,0,4,0,0,0,11,4,0,0,0,2,17,1,0,0,0,0,1,0,0,0,253
reconnoissance,0,0,18,0,2,6,0,0,4,1,0,0,0,0,0,7,1,0,0,0,0,9,8,3,0,18,20,9,13,0,1,39,8,2,0,11,2,1,1,0,8,0,14,15,0,0,8,4,4,5,0,0,1,0,0,0,0,0,7,2,0,0,252
n'avois,0,14,6,0,3,8,0,0,14,21,0,0,0,0,0,7,0,0,0,0,0,1,3,0,0,13,7,15,13,0,1,38,5,8,0,23,11,0,0,0,1,0,0,0,0,0,10,7,1,0,0,5,13,0,0,0,0,0,0,0,0,0,248
l'ame,0,3,9,0,4,9,0,0,9,13,0,0,0,0,0,4,2,2,0,0,0,1,5,0,2,9,6,10,6,6,10,1,1,10,0,4,2,18,19,7,5,0,9,10,4,0,8,3,3,9,8,0,2,1,0,0,0,0,5,7,0,0,246
cécile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243
falloit,1,14,8,0,3,5,0,0,6,11,0,0,0,0,0,12,4,0,0,0,0,4,9,0,0,12,4,13,9,0,13,16,6,7,0,20,12,3,3,1,0,0,5,2,0,0,5,4,2,5,0,7,8,0,0,0,0,0,6,1,0,0,241
premiere,0,11,10,5,11,4,0,0,0,1,0,0,0,0,0,6,6,0,0,0,0,0,7,3,0,0,0,15,17,0,0,0,10,8,0,10,0,4,0,12,4,0,2,0,45,0,10,3,10,9,0,0,9,0,0,0,0,0,6,2,0,0,240
zabeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
durcet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,236
parens,0,11,3,0,0,1,0,0,22,26,0,0,0,0,0,4,0,8,0,0,0,9,0,3,2,9,5,24,8,3,8,24,1,2,0,0,14,2,2,3,0,2,13,3,1,0,3,3,2,0,6,0,2,0,0,0,0,0,7,0,0,0,236
serois,0,0,12,0,16,7,0,0,7,16,0,0,0,0,0,6,0,0,0,0,0,1,4,0,0,15,6,3,10,0,5,30,2,10,0,8,15,4,4,5,2,0,6,1,0,0,2,1,0,1,0,5,27,0,0,0,0,0,0,2,0,0,233
paroît,2,5,15,0,14,18,0,0,11,10,0,0,0,0,0,5,0,0,0,0,0,4,4,0,0,3,11,3,4,0,3,11,1,3,0,10,24,6,6,5,4,0,6,12,0,0,6,4,4,2,0,0,1,5,0,0,0,0,2,3,0,0,227
stéphanie,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
