PER;LOC;PER but no NE;LOC but no NE;No NE (PER);No NE (LOC);Categorised PER, is LOC;Categorised LOC, is PER;Categorised PER, is LOC (no NE);Categorised LOC, is PER (no NE)
Aspasie;;;;;;;Florimonde;;
Paul;;;;;adorois;;;;
madame de la Tour;;;;;indigens;;;;
Marguerite;Dorneuil;;;;;;;;
Marie;Géminyile;;;;;;;;
M. de la Bourdonnais;Dolimon;;;;;;;;
Homère;Blanckfort;;;;;;;;
;Lénoncourt;Muses;;;;;;;
M. Roger;Géminvile;;;;;;;;
M. Manouri;Sinderson;;;;;;;;
Suzanne;;;;;cæur;;;;
Sœur Suzanne;Courtisanne;;;;;;;;
Chère mère;Florella;;;;;;;;
M. Simonin;La Florella;;;;;;;;
P. Lemoine;;;;;Italienne;;;;
Mademoiselle Dulis;Barville;;;;;;;;
Madame Moranval;Hortence;;;;;;;;
Iris;Gancour;;;;;;;;
Maîtresse;;;;;Riches;;;;
Madame V;Gaudricourt;;;;;;;;
Madame de Broncourt;Marville;;;;;;;;
Artémise;St. Ange;;;;;;;;
Amante;;;;;;;Stella;;
;Taninge;Cardinal;;;;;;;
Thérésine;;;;;Mde;;;;
Messieurs;Germosan;;;;;;;;
Adaté;St. Marcin;;;;;;;;
P. Fa tutto;Flamacour;;;;;;;;
Amabed;Alpes;;;;;;;;
Bacchus;Turin;;;;;;;;
Alexandre;;;;;parcourrai;;;;
Noé;;;;;présente!;;;;
Déra;Sicile;;;;;;;;
Birma;;;;;balanceront;;;;
Carathis;Arras;;;;;;;;
Nouronihar;Tiennete;;;;;;;;
Bababalouk;;;;;;;M Parangon;;
Emir;;;;;Av;;;;
Gulchenrouz;;;;;Tempé;;;;
Alboufaki;Naxos;;;;;;;;
Istakhar;Samos;;;;;;;;
Shaban;Pénée;;;;;;;;
Fakreddin;Athènes;;;;;;;;
Nadir;Délos;;;;;;;;
Zaleg;Glycère;;;;;;;;
Zirma;Abbaye de Grasville;;;;;;;;
Roy;tour du Sud-Ouest;;;;;;;;
Ben-Abassy;Souterrains;;;;;;;;
Sorane;Zampari;;;;;;;;
;Maradan;;;Jadis;;;;;
;Durcet;Epouse;;;;;;;
;;Mere;;;Rosette;;;;
;Zélamir;Mon Pere;;;;;;;
Mademoiselle de V;Michette;;;;;;;;
;;Mari;;;Md;;;;
;Chanville;Fille;;;;;;;
Aline;;;;;;;Hébé;;
madame de Blamont;Conquette;;;;;;;;
Clémentine;Vitnègre;;;;;;;;
Léonore;Minonne;;;;;;;;
Dolbourg;Rosemauve;;;;;;;;
Brigandos;Timori;;;;;;;;
Isabeau;Guaé;;;;;;;;
Valcour;Cordaboyau;;;;;;;;
Monsieur Guillaume;Connette;;;;;;;;
Monsieur Larcher;Montencon;;;;;;;;
Guillaume;;;;;Traitdamour;;;;
Monsieur Dorat;Phocide;;;;;;;;
M. de Beauregard;Athenes;;;;;;;;
madame de Beauregard;Locriens;;;;;;;;
Sophie de Beauregard;Phocus;;;;;;;;
Saint-Hilaire;Grantor;;;;;;;;
Darcy;Phocéens;;;;;;;;
Jezennemours;;;;;;;Erectée;;
Monval;;;Attique;;;;;;
M De Chaterbaune;Delphes;;;;;;;;
Florimonde;Sparte;;;;;;;;
;Saint-Domingue;;;Disoit;;;;;
Géminvile;Philadelphie;;;;;;;;
Elisabeth;Senneterre;;;;;;;;
Dorneuil;;;;;;;M De Senneterre;;
Henry;Saint-Elme;;;;;;;;
Lindley;Fontainebleau;;;;;;;;
Bedmer;Roqueval;;;;;;;;
Sinderson;Cudard;;;;;;;;
Habert;;;;;;;grand Jupiter;;
Giacomo;Ris;;;;;;;;
Signora;Brest;;;;;;;;
