,Abbes_Voyage,Anonym_Suzon,Beauharnais_Lettres,Beaumont_Clarice,Benoist_Elisabeth3,Benouville_Pensees,Bernardin_Paul,Bernardin_Paul[1],Constant_Laure1,Constant_Laure2,Diderot_Bijoux[1],Diderot_Jacques,Diderot_Neveu,Diderot_Religieuse,Diderot_Supplement[1],Doppet_Memoires,Duclos_Acajou,Ducray_Cinquante1,Dulaurens_Imirce,Duras_Edouard,Duras_Ourika,Florian_Estelle,Florian_Galatee,Fourqueux_Zely,Gorjy_Voyage,Jacquant_Lettres,Jacquin_Parisiennes2,Kimber_Thompson1,Kimber_Thompson2,Laclos_Liaisons,Lagrave_Sophie1,Lagrave_Zabeth1,LaPlace_Collection,LaPlace_Lydia,Leonard_Lettres1,Lesage_Histoire[1],Lesuire_Aventurier1,Lesuire_Crime1,Loaisel_Comtesse,Loaisel_Lucile,Maistre_Voyage,Meissner_Histoire1,Merard_Bergeries,Mercier_An,Mirabeau_Conversion,Morelly_Naufrage1,Morelly_Naufrage2,Nerciat_Aphrodites,Nerciat_Felicia,Popeliniere_Daira1,Popeliniere_Daira2,Puget_Periphas1,Puget_Periphas2,Retif_AntiJustine,Retif_Paysanne,Reveroni_Pauliska,Rousseau_Emile1,Rousseau_Emile2,Rousseau_Julie,Sacy_Amours,Sade_120,Sade_Aline,Sade_Infortunes,Sade_Justine,Sade_Philosophie,Senac_Emigre,Tiphaigne_Galligenes1,Tiphaigne_Galligenes2,Voltaire_Candide,Voltaire_Homme,Voltaire_Princesse,sum
j'allois,2,6,5,0,1,1,0,0,6,3,0,0,0,0,0,7,0,0,0,0,0,4,3,0,0,6,4,11,13,0,0,0,18,2,10,0,11,3,0,0,0,0,1,1,0,4,3,0,0,9,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141
diaper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
d'eranville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
rome,0,0,0,0,0,4,3,0,0,0,1,1,0,2,1,1,0,0,8,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,1,0,0,2,2,0,9,2,1,0,2,3,0,0,0,1,0,7,5,4,5,18,0,0,7,0,1,13,12,0,0,5,7,0,138
conquette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
dupuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,134
bertrand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,8,9,0,47,0,0,0,0,0,133
monrose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
émilie,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,130
l'europe,0,1,0,0,0,1,22,0,0,0,1,1,1,2,1,0,0,1,8,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,1,1,0,5,0,8,2,0,0,5,1,2,0,0,0,0,1,1,3,10,0,0,0,0,0,1,6,11,0,0,4,12,6,129
