filename	au-name	image	field of work	sex or gender	title EN	Wikidata ID	title FR	genre	main subject	image2	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	size	bgrf
Senac_Emigre	Gabriel Sénac de Meilhan	Gabriel Sénac de Meilhan (1736-1803), French School around 1780.jpg		male	L’Émigré						M	1797	1797	epistolary	historical	semi-automatic transcription	140007	long	97.74
Souza_Adele	Adelaide Filleul, Marquise de Souza-Botelho	Madame de Flahault.jpg		female	Adèle de Senange						F	1794	1821	epistolary	modern	semi-automatic transcription	53365	short	94.13
Tiphaigne_Amilec	Charles-François Tiphaigne de la Roche			male	Amilec, ou la Graine d'Hommes qui sert à peupler les planètes						M	1754	1754	autodiegetic	historical	semi-automatic transcription	13265	short	54.33
Tiphaigne_Galligenes	Charles-François Tiphaigne de la Roche			male	Histoire des Galligènes						M	1765	1765	heterodiegetic	historical	double keying	40888	short	65.5
Voisenon_Histoire	Claude-Henri de Fusée de Voisenon	Claude-Henri de Fusée de Voisenon - Versailles MV 2998.jpg		male	Histoire de la Félicité						M	1751	1781	heterodiegetic	modern	semi-automatic transcription	10886	short	51.42
Voltaire_Candide	Voltaire				Candide	Q215894	Candide, ou l’Optimisme	Bildungsroman		Candide1759.jpg	M	1759	1791	heterodiegetic	modern	semi-automatic transcription	33824	short	59.25
								novella											
Voltaire_Homme	Voltaire				The Man of Forty Crowns	Q3203608	L’Homme aux quarante écus	philosophical fable	philosophy	Voltaire - L'Homme aux quarante écus - Langlois - Moreau.jpg	M	1768	1768	homodiegetic	modern	semi-automatic transcription	23195	short	68.55
Voltaire_Micromegas	Voltaire				Micromégas	Q1785978	Micromégas	philosophical fable		D'après Maurice Quentin de La Tour, Portrait de Voltaire (c. 1737, musée Antoine Lécuyer).jpg	M	1752	1950	heterodiegetic	modern	semi-automatic transcription	7128	short	52.43
Voltaire_Princesse	Voltaire				The Princess of Babylon	Q3211934	La Princesse de Babylone				M	1768	1877	heterodiegetic	modern	semi-automatic transcription	27534	short	68.55
