filename	au-name	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count
Reveroni_Pauliska	     Révéroni Saint-Cyr	"
     Pauliska ou la Perversité moderne
    "	M	"
      1798
     "	"
      1798
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	64940
Riccoboni_Histoire	Marie-Jeanne Riccoboni	Histoire du marquis de Cressy	F	1758	1814	heterodiegetic	modern	semi-automatic transcription	25982
Riccoboni_LettresFanni	Marie-Jeanne Riccoboni	Lettres de Fanni Butler à Milord Charles Alfred de Caitombridge	F	1757	1757	epistolary	modern	semi-automatic transcription	32027
Riccoboni_MylordRivers	     Marie-Jeanne Riccoboni	"
     Lettres de Mylord Rivers à Sir Charles Cardigan
    "	F	"
      1776
     "	"
      1776
     "	"
      epistolary
     "	"
      historical
     "	"
      semi-automatic transcription
     "	49147
Roche_Cure	Regina Maria Roche	“Le” curé de Lansdowne, ou les garnisons	F	1789	1789	heterodiegetic	historical	semi-automatic transcription	45593
Rosny_Firmin	     Joseph Rosny	"
     Firmin ou le Jouet de la fortune
    "	M	"
      1798
     "	"
      1798
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	37631
Sacy_Amours	     Claude Louis Michel de Sacy	"
     Les Amours de Mirtil
    "	M	"
      1761
     "	"
      1761
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      double keying
     "	13693
Sade_120	     Donatien de Sade	"
     Les Cent Vingt Journées de Sodome
    "	M	"
      1785
     "	"
      1904
     "	"
      heterodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	166130
Sade_Aline	     Donatien de Sade	"
     Aline et Valcour ou le roman philosophique
    "	M	NA	"
      1795
     "	"
      epistolary
     "	historical	semi-automatic transcription	297838
Sade_Infortunes	     Donatien de Sade	"
     Les Infortunes de la vertu
    "	M	"
      1787
     "	"
      1787
     "	"
      heterodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	53703
Sade_Justine	     Donatien de Sade	"
     Justine ou les Malheurs de la vertu
    "	M	"
      1791
     "	"
      1791
     "	"
      heterodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	119412
Sade_Philosophie	     Donatien de Sade	"
     La Philosophie dans le boudoir
    "	M	"
      1791
     "	"
      1791
     "	"
      dialogue novel
     "	"
      modern
     "	"
      semi-automatic transcription
     "	67671
Segur_Correspondance	     Alexandre-Joseph-Pierre vicomte de Ségur	"
     Correspondance secrète entre Ninon de Lenclos, le Marquis de Villarceaux et Madame M. — Partie 1, 2
    "	F	"
      1789
     "	"
      1789
     "	"
      epistolary
     "	"
     historical
     "	"
      semi-automatic transcription
     "	119082
Senac_Emigre	     Gabriel Sénac de Meilhan	"
     L’Émigré
    "	M	"
      1797
     "	"
      1797
     "	"
      epistolary
     "	historical	semi-automatic transcription	140006
Souza_Adele	     Adélaïde de Souza	"
     Adèle de Senange
    "	F	"
      1794
     "	"
      1821
     "	"
      epistolary
     "	"
      modern
     "	"
      semi-automatic transcription
     "	53365
Tiphaigne_Amilec	Tiphaigne de La Roche	Amilec, ou la Graine d'Hommes qui sert à peupler les planètes	M	1754	1754	autodiegetic	historical	semi-automatic transcription	13265
Tiphaigne_Galligenes1	Tiphaigne de La Roche	Histoire des Galligènes	M	1765	1765	heterodiegetic	historical	double keying	21814
Tiphaigne_Galligenes2	Tiphaigne de La Roche	Histoire des Galligènes	M	1765	1765	heterodiegetic	historical	double keying	17839
Voltaire_Candide	François-Marie Arouet Voltaire	Candide, ou l'Optimisme	M	NA	1791	heterodiegetic	"
      modern
     "	NA	33824
Voltaire_Homme	     François-Marie Arouet Voltaire	"
     L’Homme aux quarante écus
    "	M	"
      1768
     "	"
      1768
     "	"
      homodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	23194
Voltaire_Micromegas	François-Marie Arouet Voltaire	Micromégas	M	1752	1950	heterodiegetic	modern	semi-automatic transcription	7128
Voltaire_Princesse	     François-Marie Arouet Voltaire	"
     La Princesse de Babylone
    "	M	"
      1768
     "	"
      1877
     "	"
      heterodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	27532
Voltaire_Zadig	François-Marie Arouet Voltaire	Zadig ou la Destinée : histoire orientale	M	1756	1962	heterodiegetic	modern	semi-automatic transcription	24997
