,Merard_Bergeries,Lesuire_Crime1,Ducray_Cinquante1,Constant_Laure2,Loaisel_Lucile,Kimber_Thompson2,LaPlace_Lydia,Puget_Periphas_1,Florian_Estelle,Morelly_Naufrage2,Kimber_Thompson,Puget_Periphas_2,Fourqueux_Zély,Beauharnais_Lettres,Florian_Galatée,Jacquant_Lettres,Benouville_Pensees,Gorjy_Voyage,Abbes_Voyage,Leonard_Lettres1,Popeliniere_Daira_2,Benoist_Elisabeth3,Lagrave_Sophie1,Sacy_Amours,Lagrave_Zabeth1,Tiphaigne_Galligenes_1,Constant_Laure,Beaumont_Clarice,Jacquin_Parisiennes2,Popeliniere_Daira_1,Lesuire_Aventurier1,Morelly_Naufrage,Meissner_Histoire1,Doppet_Memoires,Loaisel_Comtesse,LaPlace_Collection,Tiphaigne_Galligenes_2,sum
connoît,1,7,0,5,7,3,0,2,2,0,3,1,0,8,1,4,3,0,0,2,0,7,0,1,4,3,1,0,3,5,2,0,1,4,6,10,3,99
beaubourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99
pouvoient,0,2,0,2,1,1,8,2,3,7,3,4,0,2,2,5,2,0,0,3,0,0,0,0,6,4,2,0,2,3,6,0,4,1,1,17,6,99
seroient,0,2,0,1,2,4,2,3,3,6,3,4,0,6,2,4,1,0,1,4,2,2,0,1,0,3,4,0,3,6,2,2,9,4,2,9,2,99
différens,0,6,0,3,1,1,2,0,3,13,6,0,1,0,0,6,3,0,4,3,0,0,0,0,3,6,5,0,6,0,1,5,2,4,1,11,2,98
galligènes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,42,96
lumiere,2,0,0,0,0,0,0,10,0,0,5,12,1,3,2,0,0,0,0,7,5,1,0,0,0,2,0,0,4,20,6,0,1,3,10,0,2,96
imoinda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96
voudroit,2,2,0,7,13,0,1,1,1,5,0,0,0,5,1,3,9,0,1,5,0,3,0,4,0,4,6,0,0,1,1,1,1,2,14,2,1,96
feroit,1,5,0,7,0,2,0,1,1,1,4,1,0,2,1,6,4,0,0,3,1,8,0,0,9,2,3,0,2,2,4,1,1,6,0,16,2,96
françois,0,7,1,1,1,0,0,0,16,0,2,0,0,3,7,0,1,1,3,0,0,1,0,0,0,11,0,0,2,1,17,2,10,1,1,6,1,96
warens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,95
france,0,9,3,3,1,6,0,0,20,0,0,0,0,4,0,0,2,2,1,0,0,0,0,0,12,4,0,1,0,2,5,1,4,5,1,7,1,94
raimond,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
derniere,2,0,0,0,0,2,2,1,0,0,9,4,3,7,4,0,2,1,0,4,3,8,0,0,0,3,1,0,10,4,3,1,7,2,7,0,2,92
croyoit,0,3,0,3,2,2,3,0,3,3,3,1,0,4,1,4,0,0,0,1,1,3,0,2,8,2,3,0,1,1,4,4,1,11,2,14,0,90
sentois,0,9,0,6,0,2,8,0,1,0,3,0,0,1,1,3,0,0,1,7,2,0,0,0,0,0,5,0,2,8,6,0,0,2,0,23,0,90
